t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
1.025052762031555176e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.198481891747696509e-01,6.866795421999781546e+00,8.128812313079833984e-01,-2.202987670898437500e-03
1.025551700592041016e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.198481891747696509e-01,6.866795421999781546e+00,8.128810524940490723e-01,-2.203166484832763672e-03
1.026024317741394043e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.198481891747696509e-01,6.866795421999781546e+00,8.128810524940490723e-01,-2.203166484832763672e-03
1.026532697677612305e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201154477884088523e-01,6.882108212599825414e+00,8.127818107604980469e-01,-2.302408218383789062e-03
1.027081036567687988e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201154477884088523e-01,6.882108212599825414e+00,8.127818107604980469e-01,-2.302408218383789062e-03
1.027547907829284668e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201154477884088523e-01,6.882108212599825414e+00,8.128885626792907715e-01,-2.195656299591064453e-03
1.028024554252624512e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201154477884088523e-01,6.882108212599825414e+00,8.128885626792907715e-01,-2.195656299591064453e-03
1.028533315658569336e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129596114158630371e-01,-2.124607563018798828e-03
1.029034543037414551e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129596114158630371e-01,-2.124607563018798828e-03
1.029546380043029785e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129873275756835938e-01,-2.096891403198242188e-03
